City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Grimshaw,CA,56.1834,-117.6027,32.74,42,100,3.69,overcast clouds
337,Riyadh,SA,24.6877,46.7219,79.9,29,90,6.13,overcast clouds
338,Kuito,AO,-12.3833,16.9333,58.86,93,96,0.11,light rain
339,Sao Joaquim,BR,-28.2939,-49.9317,44.4,93,84,4.32,broken clouds
340,Elverum,NO,60.8819,11.5623,29.59,97,99,1.79,overcast clouds
341,San Carlos De Bariloche,AR,-41.1456,-71.3082,49.08,80,1,5.39,clear sky
342,Iralaya,HN,15.0,-83.2333,78.91,75,9,9.13,clear sky
343,Monrovia,LR,6.3005,-10.7969,79.32,88,98,5.99,overcast clouds
344,Abay,KZ,49.6311,72.8539,46.78,32,8,8.34,clear sky
345,Kurilsk,RU,45.2333,147.8833,31.5,83,100,9.26,overcast clouds
